81,Bank,ID_MAYORA,Bank Mayora,Xendit,payouts,1
82,Bank,ID_MEGA,Bank Mega,Xendit,payouts,1
83,Bank,ID_MEGA_SYR,Bank Syariah Mega,Xendit,payouts,1
84,Bank,ID_MESTIKA_DHARMA,Bank Mestika Dharma,Xendit,payouts,1
85,Bank,ID_MIZUHO,Bank Mizuho Indonesia,Xendit,payouts,1
86,Bank,ID_MNC_INTERNASIONAL,Bank MNC Internasional,Xendit,payouts,1
87,Bank,ID_MUAMALAT,Bank Muamalat Indonesia,Xendit,payouts,1
88,Bank,ID_MULTI_ARTA_SENTOSA,Bank Multi Arta Sentosa,Xendit,payouts,1
89,Bank,ID_NATIONALNOBU,Bank Nationalnobu,Xendit,payouts,1
90,Bank,ID_NUSA_TENGGARA_BARAT,BPD Nusa Tenggara Barat,Xendit,payouts,1
91,Bank,ID_NUSA_TENGGARA_TIMUR,BPD Nusa Tenggara Timur,Xendit,payouts,1
92,Bank,ID_OCBC,Bank OCBC NISP,Xendit,payouts,1
93,Bank,ID_OCBC_UUS,Bank OCBC NISP Syariah (UUS),Xendit,payouts,1
94,Bank,ID_OKE,Bank Oke Indonesia (sebelumnya bernama Bank Andara),Xendit,payouts,1
95,Bank,ID_PANIN,Bank Panin,Xendit,payouts,1
96,Bank,ID_PANIN_SYR,Bank Panin Syariah,Xendit,payouts,1
97,Bank,ID_PAPUA,Bank Pembangunan Daerah Papua,Xendit,payouts,1
98,Bank,ID_PERMATA,Bank Permata,Xendit,payouts,1
99,Bank,ID_PERMATA_UUS,Bank Permata Syariah (UUS),Xendit,payouts,1
100,Bank,ID_PRIMA_MASTER,Prima Master Bank,Xendit,payouts,1
101,Bank,ID_QNB_INDONESIA,Bank QNB Indonesia (sebelumnya bernama Bank QNB Kesawan),Xendit,payouts,1
102,Bank,ID_RABOBANK,Bank Rabobank International Indonesia,Xendit,payouts,1
103,Bank,ID_RESONA,Bank Resona Perdania,Xendit,payouts,1
104,Bank,ID_RIAU_DAN_KEPRI,Bank Pembangunan Daerah Riau Dan Kepri,Xendit,payouts,1
105,Bank,ID_SAHABAT_SAMPOERNA,Bank Sahabat Sampoerna,Xendit,payouts,1
106,Bank,ID_SBI_INDONESIA,Bank SBI Indonesia,Xendit,payouts,1
107,Bank,ID_SEABANK,Bank Seabank Indonesia (sebelumnya bernama Bank Kesejahteraan Ekonomi),Xendit,payouts,1
108,Bank,ID_SHINHAN,Bank Shinhan Indonesia (sebelumnya bernama Bank Metro Express),Xendit,payouts,1
109,Bank,ID_SINARMAS,Bank Sinarmas,Xendit,payouts,1
110,Bank,ID_SINARMAS_UUS,Bank Sinarmas Syariah (UUS),Xendit,payouts,1
111,Bank,ID_STANDARD_CHARTERED,Standard Charted Bank,Xendit,payouts,1
112,Bank,ID_SULAWESI,Bank Pembangunan Daerah Sulawesi Tengah,Xendit,payouts,1
113,Bank,ID_SULAWESI_TENGGARA,Bank Pembangunan Daerah Sulawesi Tenggara,Xendit,payouts,1
114,Bank,ID_SULSELBAR,Bank Pembangunan Daerah Sulselbar,Xendit,payouts,1
115,Bank,ID_SULSELBAR_UUS,Bank Pembangunan Daerah Sulselbar Syariah (UUS),Xendit,payouts,1
116,Bank,ID_SULUT,Bank Pembangunan Daerah Sulut,Xendit,payouts,1
117,Bank,ID_SUMATERA_BARAT,Bank Pembangunan Daerah Sumatera Barat,Xendit,payouts,1
118,Bank,ID_SUMATERA_BARAT_UUS,Bank Pembangunan Daerah Sumatera Barat Syariah (UUS),Xendit,payouts,1
119,Bank,ID_SUMSEL_DAN_BABEL,Bank Pembangunan Daerah Sumsel Dan Babel,Xendit,payouts,1
120,Bank,ID_SUMSEL_DAN_BABEL_UUS,Bank Pembangunan Daerah Sumsel Dan Babel Syariah (UUS),Xendit,payouts,1
121,Bank,ID_SUMUT,Bank Pembangunan Daerah Sumut,Xendit,payouts,1
122,Bank,ID_SUMUT_UUS,Bank Pembangunan Daerah Sumut Syariah (UUS),Xendit,payouts,1
123,Bank,ID_TABUNGAN_PENSIUNAN_NASIONAL,Bank Tabungan Pensiunan Nasional (BTPN),Xendit,payouts,1
124,Bank,ID_TOKYO,Bank of Tokyo Mitsubishi UFJ (MUFJ),Xendit,payouts,1
125,Bank,ID_UOB,Bank UOB Indonesia,Xendit,payouts,1
126,Bank,ID_VICTORIA_INTERNASIONAL,Bank Victoria Internasional,Xendit,payouts,1
127,Bank,ID_VICTORIA_SYR,Bank Victoria Syariah,Xendit,payouts,1
128,Bank,ID_WOORI,Bank Woori Indonesia,Xendit,payouts,1
129,E-Wallet,ID_DANA,DANA,Xendit,payouts,1
130,E-Wallet,ID_GOPAY,GoPay,Xendit,payouts,1
131,E-Wallet,ID_LINKAJA,LinkAja,Xendit,payouts,1
132,E-Wallet,ID_OVO,OVO,Xendit,payouts,1
133,E-Wallet,ID_SHOPEEPAY,Shopeepay,Xendit,payouts,1
134,Bank,ACEH,BPD Aceh,Xendit,disbursement,1
135,Bank,ACEH_UUS,Bank Pembangunan Daerah Aceh Syariah (UUS),Xendit,disbursement,1
136,Bank,AGRONIAGA,Bank Raya Indonesia (sebelumnya bernama Bank BRI Agroniaga),Xendit,disbursement,1
137,Bank,ALADIN,Bank Aladin Syariah (sebelumnya bernama Bank Maybank Syariah Indonesia),Xendit,disbursement,1
138,Bank,ALLO,Allo Bank Indonesia (sebelumnya bernama Bank Harda Internasional),Xendit,disbursement,1
139,Bank,AMAR,Bank Amar Indonesia (sebelumnya bernama Anglomas International Bank),Xendit,disbursement,1
140,Bank,ANZ,Bank ANZ Indonesia,Xendit,disbursement,1
141,Bank,ARTHA,Bank Artha Graha International,Xendit,disbursement,1
142,Bank,BALI,BPD Bali,Xendit,disbursement,1
143,Bank,BAML,Bank of America Merill-Lynch,Xendit,disbursement,1
144,Bank,BANTEN,BPD Banten (sebelumnya bernama Bank Pundi Indonesia),Xendit,disbursement,1
145,Bank,BCA,Bank Central Asia (BCA),Xendit,disbursement,1
146,Bank,BCA_DIGITAL,Bank Central Asia Digital (BluBCA),Xendit,disbursement,1
147,Bank,BCA_SYR,Bank Central Asia (BCA) Syariah,Xendit,disbursement,1
148,Bank,BENGKULU,Bank Pembangunan Daerah Bengkulu,Xendit,disbursement,1
149,Bank,BISNIS_INTERNASIONAL,Bank Bisnis Internasional,Xendit,disbursement,1
150,Bank,BJB,Bank BJB,Xendit,disbursement,1
151,Bank,BJB_SYR,Bank BJB Syariah,Xendit,disbursement,1
152,Bank,BNC,Bank Neo Commerce (sebelumnya bernama Bank Yudha Bhakti),Xendit,disbursement,1
153,Bank,BNI,Bank Negara Indonesia (BNI),Xendit,disbursement,1
154,Bank,BNP_PARIBAS,Bank BNP Paribas,Xendit,disbursement,1
155,Bank,BOC,Bank of China (BOC),Xendit,disbursement,1
156,Bank,BRI,Bank Rakyat Indonesia (BRI),Xendit,disbursement,1
157,Bank,BSI,Bank Syariah Indonesia (BSI),Xendit,disbursement,1
158,Bank,BTN,Bank Tabungan Negara (BTN),Xendit,disbursement,1
159,Bank,BTN_UUS,Bank Tabungan Negara Syariah (BTN UUS),Xendit,disbursement,1
160,Bank,BTPN_SYARIAH,BTPN Syariah (sebelumnya bernama BTPN UUS (Syariah) and Bank Sahabat Purba Danarta),Xendit,disbursement,1
161,Bank,BUKOPIN,Bank Bukopin,Xendit,disbursement,1
162,Bank,BUKOPIN_SYR,Bank Syariah Bukopin,Xendit,disbursement,1
163,Bank,BUMI_ARTA,Bank Bumi Arta,Xendit,disbursement,1
164,Bank,CAPITAL,Bank Capital Indonesia,Xendit,disbursement,1
165,Bank,CCB,China Construction Bank Indonesia (sebelumnya bernama Bank Antar Daerah dan Bank Windu Kentjana International),Xendit,disbursement,1
166,Bank,CHINATRUST,Bank Chinatrust Indonesia,Xendit,disbursement,1
167,Bank,CIMB,Bank CIMB Niaga,Xendit,disbursement,1
168,Bank,CIMB_UUS,Bank CIMB Niaga Syariah (UUS),Xendit,disbursement,1
169,Bank,CITIBANK,Citibank,Xendit,disbursement,1
170,Bank,COMMONWEALTH,Bank Commonwealth,Xendit,disbursement,1
171,Bank,DAERAH_ISTIMEWA,Bank Pembangunan Daerah Daerah Istimewa Yogyakarta (DIY),Xendit,disbursement,1
172,Bank,DAERAH_ISTIMEWA_UUS,Bank Pembangunan Daerah Daerah Istimewa Yogyakarta Syariah (DIY UUS),Xendit,disbursement,1
173,Bank,DANAMON,Bank Danamon,Xendit,disbursement,1
174,Bank,DANAMON_UUS,Bank Danamon Syariah (UUS),Xendit,disbursement,1
175,Bank,DBS,Bank DBS Indonesia,Xendit,disbursement,1
176,Bank,DEUTSCHE,Deutsche Bank,Xendit,disbursement,1
177,Bank,DKI,Bank DKI,Xendit,disbursement,1
178,Bank,DKI_UUS,Bank DKI Syariah (UUS),Xendit,disbursement,1
179,Bank,FAMA,Bank Fama International,Xendit,disbursement,1
180,Bank,GANESHA,Bank Ganesha,Xendit,disbursement,1
181,Bank,HANA,Bank Hana,Xendit,disbursement,1
182,Bank,HSBC,HSBC Indonesia (sebelumnya bernama Bank Ekonomi Raharja),Xendit,disbursement,1
183,Bank,HSBC_UUS,Hongkong and Shanghai Bank Corporation Syariah (HSBC UUS),Xendit,disbursement,1
184,Bank,IBK,Bank IBK Indonesia (sebelumnya bernama Bank Agris),Xendit,disbursement,1
